Date,Description,Amount
2026-06-01,PAYROLL DIRECT DEPOSIT ACME CORP,3200.00
2026-06-02,WHOLE FOODS MARKET #123,-84.32
2026-06-03,NETFLIX.COM,-15.49
2026-06-03,SHELL OIL 574,-52.10
2026-06-05,STARBUCKS STORE 0421,-6.75
2026-06-06,RENT PAYMENT PROPERTY MGMT,-1450.00
2026-06-07,AMAZON.COM*RT4G12,-39.99
2026-06-08,PG&E ENERGY,-96.40
2026-06-09,TRADER JOE'S #201,-61.18
2026-06-10,UBER TRIP,-18.30
2026-06-12,SPOTIFY USA,-10.99
2026-06-14,DOORDASH*CHIPOTLE,-27.45
2026-06-15,CVS/PHARMACY 04212,-22.10
2026-06-18,COSTCO WHOLESALE #445,-142.87
2026-06-20,VERIZON WIRELESS,-80.00
2026-06-22,TARGET 00012345,-58.63
2026-06-25,INTEREST PAID,1.24
2026-06-28,LYFT RIDE,-14.20
2026-06-30,GYM MEMBERSHIP FITNESS CO,-39.00
